condition,task_id,rep,phase,n,profile,model,model_configured,toolsets,goose_exit,timed_out,budget_killed,started,duration_s,agent_active_s,stop_cause,proxy_n_inference_calls,proxy_n_tool_calls,proxy_input_tokens,proxy_output_tokens,proxy_cache_read_input_tokens,proxy_cache_creation_input_tokens,proxy_tool_result_tokens,aux_calls,aux_tokens,unparsed_calls,prefix_tokens,prefix_n_tools,prefix_note,first_call_cc,subsequent_cc,cell,payload_exact,http_errors,completed,cost_usd,tool_results_recorded,payload_loss,payload_complete,payload_note,answer_f1,answer_precision,answer_recall,answer_coverage,graded_items,correct_items,missing_keys,unparsed_values,tool_errors,tool_error_tools,answer_grounded,grounded_facts,needs_review,grade_notes,pass_through_tokens,pass_through_fraction,pass_through_tokens_ex_discovery,pass_through_fraction_ex_discovery,forced_serial_depth,discovery_depth
M-G1,M4@20,1,2,20,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378329.924376,16.1,11.3,,7,7,5794,734,0,28656,7222,0,0,0,1491,3,,8731,19925,M-G1,True,0,True,0.045284,7,0,True,,1.0,1.0,1.0,,1,1,0,0,0,,True,1,False,,7025,0.9727,493,0.0683,1,2
M-G1,M4@20,2,2,20,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378345.986188,15.7,12.0,,9,7,5798,775,0,27548,3984,0,0,0,1491,3,,4660,22888,M-G1,True,0,True,0.044108,7,0,True,,1.0,1.0,1.0,,1,1,0,0,0,,True,1,False,,3731,0.9364,380,0.0954,1,2
M-G1,M4@20,3,2,20,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378361.682049,20.6,13.8,,9,7,5800,754,0,27504,3984,0,0,0,1491,3,,4665,22839,M-G1,True,0,True,0.04395,7,0,True,,1.0,1.0,1.0,,1,1,0,0,0,,True,1,False,,3731,0.9364,380,0.0954,1,2
M-G1,M4@50,1,2,50,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378382.3120189,15.6,11.5,,6,9,6572,845,0,22411,8536,0,0,0,1491,3,,10201,12210,M-G1,True,0,True,0.03881075,9,0,True,,1.0,1.0,1.0,,3,3,0,0,0,,True,3,False,,8241,0.9654,973,0.114,1,2
M-G1,M4@50,2,2,50,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378397.877069,15.7,11.2,,6,9,6572,828,0,22411,8536,0,0,0,1491,3,,10201,12210,M-G1,True,0,True,0.03872575,9,0,True,,1.0,1.0,1.0,,3,3,0,0,0,,True,3,False,,8241,0.9654,973,0.114,1,2
M-G1,M4@50,3,2,50,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378413.5796201,15.6,11.0,,6,9,6572,845,0,22411,8536,0,0,0,1491,3,,10201,12210,M-G1,True,0,True,0.03881075,9,0,True,,1.0,1.0,1.0,,3,3,0,0,0,,True,3,False,,8241,0.9654,973,0.114,1,2
M-G2,M1@1,1,2,1,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377849.2246752,5.5,1.3,,3,1,4095,111,0,0,103,0,0,0,1846,7,,0,0,M-G2,True,0,True,0.00465,1,0,True,,1.0,1.0,1.0,1.0,2,2,0,0,0,,True,3,False,,52,0.5018,52,0.5018,1,1
M-G2,M1@1,2,2,1,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377854.781173,5.6,1.1,,3,1,4095,108,0,0,103,0,0,0,1846,7,,0,0,M-G2,True,0,True,0.004634999999999999,1,0,True,,1.0,1.0,1.0,1.0,2,2,0,0,0,,True,3,False,,52,0.5018,52,0.5018,1,1
M-G2,M1@1,3,2,1,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377860.346217,5.5,1.0,,3,1,4095,109,0,0,103,0,0,0,1846,7,,0,0,M-G2,True,0,True,0.00464,1,0,True,,1.0,1.0,1.0,1.0,2,2,0,0,0,,True,3,False,,52,0.5018,52,0.5018,1,1
M-G2,M1@20,1,2,20,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377882.653434,10.7,1.9,,3,1,2205,734,0,4268,1878,0,0,0,1925,7,,4268,0,M-G2,True,0,True,0.011210000000000001,1,0,True,,1.0,1.0,1.0,1.0,40,40,0,0,0,,True,59,False,,942,0.5015,942,0.5015,1,1
M-G2,M1@20,2,2,20,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377893.3443,10.6,1.6,,3,1,2205,714,0,4268,1878,0,0,0,1925,7,,4268,0,M-G2,True,0,True,0.01111,1,0,True,,1.0,1.0,1.0,1.0,40,40,0,0,0,,True,59,False,,942,0.5015,942,0.5015,1,1
M-G2,M1@20,3,2,20,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377903.9559522,10.7,1.5,,3,1,2205,714,0,4268,1878,0,0,0,1925,7,,4268,0,M-G2,True,0,True,0.01111,1,0,True,,1.0,1.0,1.0,1.0,40,40,0,0,0,,True,59,False,,942,0.5015,942,0.5015,1,1
M-G2,M1@5,1,2,5,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377865.899224,5.6,1.1,,3,1,4611,247,0,0,478,0,0,0,1863,7,,0,0,M-G2,True,0,True,0.005846,1,0,True,,1.0,1.0,1.0,1.0,10,10,0,0,0,,True,15,False,,242,0.5057,242,0.5057,1,1
M-G2,M1@5,2,2,5,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377871.495269,5.6,1.1,,3,1,4611,247,0,0,478,0,0,0,1863,7,,0,0,M-G2,True,0,True,0.005846,1,0,True,,1.0,1.0,1.0,1.0,10,10,0,0,0,,True,15,False,,242,0.5057,242,0.5057,1,1
M-G2,M1@5,3,2,5,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377877.104718,5.5,1.4,,3,1,4611,247,0,0,478,0,0,0,1863,7,,0,0,M-G2,True,0,True,0.005846,1,0,True,,1.0,1.0,1.0,1.0,10,10,0,0,0,,True,15,False,,242,0.5057,242,0.5057,1,1
M-G2,M1@50,1,2,50,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377914.6295722,20.7,2.0,,3,1,2455,1614,0,7737,4681,0,0,0,2050,7,,7737,0,M-G2,True,0,True,0.02019625,1,0,True,,1.0,1.0,1.0,1.0,100,100,0,0,0,,True,144,False,,2352,0.5025,2352,0.5025,1,1
M-G2,M1@50,2,2,50,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377935.2963252,15.6,2.1,,3,1,2455,1617,0,7737,4681,0,0,0,2050,7,,7737,0,M-G2,True,0,True,0.02021125,1,0,True,,1.0,1.0,1.0,1.0,100,100,0,0,0,,True,144,False,,2352,0.5025,2352,0.5025,1,1
M-G2,M1@50,3,2,50,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377950.91831,20.7,2.1,,3,1,2455,1617,0,7737,4681,0,0,0,2050,7,,7737,0,M-G2,True,0,True,0.02021125,1,0,True,,1.0,1.0,1.0,1.0,100,100,0,0,0,,True,144,False,,2352,0.5025,2352,0.5025,1,1
M-G2,M2@1,1,2,1,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377971.594441,5.7,1.8,,3,2,5086,349,0,0,884,0,0,0,1858,7,,0,0,M-G2,True,0,True,0.006831,2,0,True,,1.0,1.0,1.0,,6,6,0,0,0,,True,3,False,"metric is correctness, not F1 over a set",835,0.9441,835,0.9441,1,1
M-G2,M2@1,2,2,1,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377977.271303,5.7,1.8,,3,2,5086,347,0,0,884,0,0,0,1858,7,,0,0,M-G2,True,0,True,0.006821000000000001,2,0,True,,1.0,1.0,1.0,,6,6,0,0,0,,True,3,False,"metric is correctness, not F1 over a set",835,0.9441,835,0.9441,1,1
M-G2,M2@1,3,2,1,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377982.950407,10.7,2.0,,3,2,5086,343,0,0,884,0,0,0,1858,7,,0,0,M-G2,True,0,True,0.006801,2,0,True,,1.0,1.0,1.0,,6,6,0,0,0,,True,3,False,"metric is correctness, not F1 over a set",835,0.9441,835,0.9441,1,1
M-G2,M3@20,1,2,20,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378025.644301,20.7,9.0,,4,40,2232,3233,0,43268,17831,0,0,0,1936,7,,18861,24407,M-G2,True,0,True,0.072482,40,0,True,,0.8889,0.8889,0.8889,1.0,20,8,0,0,0,,True,20,False,,16167,0.9067,16167,0.9067,1,1
M-G2,M3@20,2,2,20,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378046.335062,20.6,9.4,,4,40,2232,3435,0,43275,17831,0,0,0,1936,7,,18861,24414,M-G2,True,0,True,0.07350075,40,0,True,,1.0,1.0,1.0,1.0,20,9,0,0,0,,True,20,False,,16198,0.9084,16198,0.9084,1,1
M-G2,M3@20,3,2,20,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378066.9224708,25.6,11.7,,4,40,2232,3203,0,43268,17831,0,0,0,1936,7,,18861,24407,M-G2,True,0,True,0.07233200000000001,40,0,True,,0.9474,0.9,1.0,1.0,20,9,0,0,0,,True,20,False,,16176,0.9072,16176,0.9072,1,1
M-G2,M3@5,1,2,5,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788377993.6216378,10.7,2.7,,3,10,2077,1000,0,7505,4465,0,0,0,1861,7,,7505,0,M-G2,True,0,True,0.01645825,10,0,True,,1.0,1.0,1.0,1.0,5,2,0,0,0,,True,5,False,,4038,0.9043,4038,0.9043,1,1
M-G2,M3@5,2,2,5,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378004.292341,10.7,2.6,,3,10,2077,1053,0,7505,4465,0,0,0,1861,7,,7505,0,M-G2,True,0,True,0.016723250000000002,10,0,True,,1.0,1.0,1.0,1.0,5,2,0,0,0,,True,5,False,,4038,0.9043,4038,0.9043,1,1
M-G2,M3@5,3,2,5,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378014.975584,10.7,4.8,,4,10,2082,1020,0,13969,4465,0,0,0,1861,7,,6434,7535,M-G2,True,0,True,0.024643250000000002,10,0,True,,1.0,1.0,1.0,1.0,5,2,0,0,0,,True,5,False,,4038,0.9043,4038,0.9043,1,1
M-G2,M3@50,1,2,50,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378092.566591,80.7,61.1,,44,100,2732,8468,0,2205403,44461,0,0,0,2086,7,,44335,2161068,M-G2,True,0,True,2.80182575,100,0,True,,0.9583,0.92,1.0,1.0,50,23,0,0,0,,True,50,False,,40464,0.9101,40464,0.9101,1,1
M-G2,M3@50,2,2,50,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378173.280824,95.8,63.8,,44,100,2732,8853,0,2205403,44461,0,0,0,2086,7,,44335,2161068,M-G2,True,0,True,2.8037507500000003,100,0,True,,1.0,1.0,1.0,1.0,50,23,0,0,0,,True,50,False,,39957,0.8987,39957,0.8987,1,1
M-G2,M3@50,3,2,50,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378269.060225,70.7,48.7,,44,100,2732,8552,0,2205403,44461,0,0,0,2086,7,,44335,2161068,M-G2,True,0,True,2.80224575,100,0,True,,0.902,0.8214,1.0,1.0,50,23,0,0,0,,True,50,False,,40339,0.9073,40339,0.9073,1,1
M-G2,M4@20,1,2,20,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378339.819343,10.6,5.8,,4,21,5887,1193,0,9118,5055,0,0,0,1823,7,,9118,0,M-G2,True,0,True,0.0232495,21,0,True,,1.0,1.0,1.0,,1,1,0,0,0,,True,1,False,,4979,0.985,4979,0.985,2,1
M-G2,M4@20,2,2,20,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378350.427148,15.7,9.9,,4,21,5890,1204,0,9120,5055,0,0,0,1823,7,,9120,0,M-G2,True,0,True,0.02331,21,0,True,,1.0,1.0,1.0,,1,1,0,0,0,,True,1,False,,4979,0.985,4979,0.985,2,1
M-G2,M4@20,3,2,20,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378366.1542342,10.6,6.1,,4,21,5887,1194,0,9118,5055,0,0,0,1823,7,,9118,0,M-G2,True,0,True,0.023254499999999997,21,0,True,,1.0,1.0,1.0,,1,1,0,0,0,,True,1,False,,4979,0.985,4979,0.985,2,1
M-G2,M4@50,1,2,50,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378376.771602,15.7,11.0,,4,51,2006,2604,0,26719,12746,0,0,0,1823,7,,6762,19957,M-G2,True,0,True,0.04842475,51,0,True,,0.8571,0.75,1.0,,3,3,0,0,0,,True,4,False,,12454,0.9771,12454,0.9771,2,1
M-G2,M4@50,2,2,50,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378392.4588249,15.7,10.6,,4,51,2006,2602,0,26719,12746,0,0,0,1823,7,,6762,19957,M-G2,True,0,True,0.04841475,51,0,True,,0.8571,0.75,1.0,,3,3,0,0,0,,True,4,False,,12454,0.9771,12454,0.9771,2,1
M-G2,M4@50,3,2,50,,claude-haiku-4-5-20251001,claude-haiku-4-5-20251001,,0,False,False,1788378408.156963,15.7,10.8,,4,51,2006,2597,0,26719,12746,0,0,0,1823,7,,6762,19957,M-G2,True,0,True,0.048389749999999995,51,0,True,,1.0,1.0,1.0,,3,3,0,0,0,,True,3,False,,12538,0.9837,12538,0.9837,2,1
M-G3,M1@1,1,2,1,,claude-haiku-4-5-20251001,claude-haiku-4-5,,0,False,False,1788463730.215725,15.7,8.6,,7,5,15050,462,0,0,1468,0,0,0,1427,3,,0,0,M-G3,True,0,True,0.01736,5,0,True,,1.0,1.0,1.0,1.0,2,2,0,0,0,,True,3,False,,1446,0.985,0,0.0,1,1
M-G3,M1@1,2,2,1,,claude-haiku-4-5-20251001,claude-haiku-4-5,,0,False,False,1788463745.938387,11.1,4.2,,5,3,8720,315,0,0,830,0,0,0,1427,3,,0,0,M-G3,True,0,True,0.010295,3,0,True,,1.0,1.0,1.0,1.0,2,2,0,0,0,,True,3,False,,808,0.9729,0,0.0,1,1
M-G3,M1@1,3,2,1,,claude-haiku-4-5-20251001,claude-haiku-4-5,,0,False,False,1788463757.024323,10.7,4.2,,5,3,8720,315,0,0,830,0,0,0,1427,3,,0,0,M-G3,True,0,True,0.010295,3,0,True,,1.0,1.0,1.0,1.0,2,2,0,0,0,,True,3,False,,808,0.9729,0,0.0,1,1
M-G3,M1@20,1,2,20,,claude-haiku-4-5-20251001,claude-haiku-4-5,,0,False,False,1788463814.6288629,15.6,9.4,,8,6,13986,1150,0,4351,1802,0,0,0,1506,3,,4351,0,M-G3,True,0,True,0.02517475,6,0,True,,1.0,1.0,1.0,1.0,40,40,0,0,0,,True,59,False,,1318,0.7315,6,0.0033,1,1
